u,v,key,osmid,ref,oneway,reversed,length,geometry,lanes,capacity,intensity,rid,load_level,ll_color,bridge,service,junction
309946180,4900060179,0,183384464,22К-0040,False,True,86.89945815400434,"LINESTRING (42.1630892 55.3657895, 42.1631992 55.3665685)",1,1000.0,380,0,0.38,#c1ff00,,,
309946180,4900060179,1,498756446,,True,False,198.96015866771904,"LINESTRING (42.1630892 55.3657895, 42.1642694 55.3657971, 42.1642737 55.3660121, 42.1642774 55.3662011, 42.1631992 55.3665685)",1,1000.0,0,1,0.0,#00ff00,,,
309946180,1260436929,0,183384464,22К-0040,False,False,130.6131189802527,"LINESTRING (42.1630892 55.3657895, 42.1630463 55.3653672, 42.1630302 55.3650303, 42.1630275 55.3646157)",1,1000.0,374,2,0.374,#beff00,,,
4900060179,309946180,0,183384464,22К-0040,False,False,86.89945815400434,"LINESTRING (42.1631992 55.3665685, 42.1630892 55.3657895)",1,1000.0,374,3,0.374,#beff00,,,
4900060179,4901148532,0,183384464,22К-0040,False,True,72.40401158025445,"LINESTRING (42.1631992 55.3665685, 42.1632921 55.3672175)",1,1000.0,379,4,0.379,#c1ff00,,,
1260436929,309946180,0,183384464,22К-0040,False,True,130.6131189802527,"LINESTRING (42.1630275 55.3646157, 42.1630302 55.3650303, 42.1630463 55.3653672, 42.1630892 55.3657895)",1,1000.0,381,5,0.381,#c2ff00,,,
1260436929,4900060164,0,"[ 712440166, 498648358, 498621687 ]",,False,"[ false, true ]",1205.0933014388033,"LINESTRING (42.1630275 55.3646157, 42.1622068 55.3647148, 42.1617696 55.3647407, 42.1614021 55.3647392, 42.1608576 55.3647056, 42.1585314 55.3647242, 42.1561123 55.3645862, 42.1543751 55.3644296, 42.1531142 55.3642703, 42.1500553 55.3641588, 42.1494342 55.36392, 42.148729 55.3634316, 42.1486543 55.3629113, 42.1492732 55.3626735, 42.1498552 55.3626964, 42.1505767 55.3626872, 42.1508262 55.3627009, 42.1511373 55.3627406, 42.1517354 55.3627635)",1,1000.0,0,6,0.0,#00ff00,,,
1260436929,4900060159,0,498653636,22К-0040,False,False,119.99122306200546,"LINESTRING (42.1630275 55.3646157, 42.1630517 55.3641736, 42.1631142 55.3635378)",1,1000.0,375,7,0.375,#bfff00,,,
309946186,4900060195,0,498653643,22К-0040,False,True,11.395657672926557,"LINESTRING (42.1594334 55.3581561, 42.15942 55.3582583)",1,1000.0,430,8,0.43,#dbff00,,,
309946186,4900278880,0,"[ 498648402, 498648404 ]",,False,False,536.3647342500527,"LINESTRING (42.1594334 55.3581561, 42.159884 55.3582186, 42.160399 55.3583284, 42.1606886 55.3583406, 42.1615201 55.3583071, 42.1626493 55.3583208, 42.1645081 55.3583589, 42.1648273 55.3583955, 42.1649614 55.3583894, 42.1652189 55.3583467, 42.1655515 55.358333, 42.1656266 55.3583193, 42.1657044 55.3582872, 42.1659833 55.3581363, 42.1663266 55.3579915, 42.1663722 55.3579457, 42.1664366 55.3578085, 42.1665868 55.3572657)",1,1000.0,0,9,0.0,#00ff00,,,
309946186,4900278861,0,498653643,22К-0040,False,False,165.95455238561834,"LINESTRING (42.1594334 55.3581561, 42.1594816 55.3579579, 42.1595514 55.3577856, 42.1596694 55.3575523, 42.159833 55.3572794, 42.1602046 55.3567344)",1,1000.0,415,10,0.415,#d3ff00,,,
4900060195,309946186,0,498653643,22К-0040,False,False,11.395657672926557,"LINESTRING (42.15942 55.3582583, 42.1594334 55.3581561)",1,1000.0,413,11,0.413,#d2ff00,,,
4900060195,4900278909,0,498648406,,False,True,303.619853993726,"LINESTRING (42.15942 55.3582583, 42.1591544 55.3582583, 42.1588299 55.3582278, 42.158567 55.3582461, 42.1582049 55.3582598, 42.1577865 55.35824, 42.1573654 55.3582598, 42.157073 55.3582308, 42.1570569 55.3582283, 42.1568531 55.3581973, 42.1565849 55.3581332, 42.1562764 55.3580372, 42.1560055 55.3579381, 42.1557909 55.3578817, 42.1547985 55.3577658)",1,1000.0,0,12,0.0,#00ff00,,,
4900060195,4900278498,0,"[ 498653643, 498648326, 498653639 ]",22К-0040,False,True,160.04308816072466,"LINESTRING (42.15942 55.3582583, 42.1594176 55.358333, 42.1594119 55.3584519, 42.1594112 55.3584969, 42.1593936 55.3596975)",1,1000.0,428,13,0.428,#daff00,yes,,
4900278880,4900278855,0,498648401,,False,False,6.917783347112222,"LINESTRING (42.1665868 55.3572657, 42.1666914 55.3572474)",1,1000.0,1,14,0.001,#00ff00,,,
4900278880,4900278861,0,498648401,,False,True,408.12153402203467,"LINESTRING (42.1665868 55.3572657, 42.1663588 55.3572657, 42.1654871 55.3572017, 42.1627754 55.3569989, 42.1607584 55.3568159, 42.1602046 55.3567344)",1,1000.0,0,15,0.0,#00ff00,,,
