u,v,key,osmid,ref,oneway,reversed,length,lanes,geometry,capacity,intensity,rid,load_level,ll_color,bridge,service,junction
309946180,4900060179,False,183384464,22Рљ-0040,False,True,86.89945815400434,1,"LINESTRING (42.1630892 55.3657895, 42.1631992 55.3665685)",1000.0,430,0,0.43,#dbff00,,,
309946180,4900060179,True,498756446,,True,False,198.96015866771904,1,"LINESTRING (42.1630892 55.3657895, 42.1642694 55.3657971, 42.1642737 55.3660121, 42.1642774 55.3662011, 42.1631992 55.3665685)",1000.0,0,1,0.0,#00ff00,,,
309946180,1260436929,False,183384464,22Рљ-0040,False,False,130.6131189802527,1,"LINESTRING (42.1630892 55.3657895, 42.1630463 55.3653672, 42.1630302 55.3650303, 42.1630275 55.3646157)",1000.0,383,2,0.383,#c3ff00,,,
4900060179,309946180,False,183384464,22Рљ-0040,False,False,86.89945815400434,1,"LINESTRING (42.1631992 55.3665685, 42.1630892 55.3657895)",1000.0,382,3,0.382,#c2ff00,,,
4900060179,4901148532,False,183384464,22Рљ-0040,False,True,72.40401158025445,1,"LINESTRING (42.1631992 55.3665685, 42.1632921 55.3672175)",1000.0,428,4,0.428,#daff00,,,
1260436929,309946180,False,183384464,22Рљ-0040,False,True,130.6131189802527,1,"LINESTRING (42.1630275 55.3646157, 42.1630302 55.3650303, 42.1630463 55.3653672, 42.1630892 55.3657895)",1000.0,429,5,0.429,#daff00,,,
1260436929,4900060164,False,"[ 712440166, 498648358, 498621687 ]",,False,"[ false, true ]",1205.0933014388033,1,"LINESTRING (42.1630275 55.3646157, 42.1622068 55.3647148, 42.1617696 55.3647407, 42.1614021 55.3647392, 42.1608576 55.3647056, 42.1585314 55.3647242, 42.1561123 55.3645862, 42.1543751 55.3644296, 42.1531142 55.3642703, 42.1500553 55.3641588, 42.1494342 55.36392, 42.148729 55.3634316, 42.1486543 55.3629113, 42.1492732 55.3626735, 42.1498552 55.3626964, 42.1505767 55.3626872, 42.1508262 55.3627009, 42.1511373 55.3627406, 42.1517354 55.3627635)",1000.0,0,6,0.0,#00ff00,,,
1260436929,4900060159,False,498653636,22Рљ-0040,False,False,119.99122306200546,1,"LINESTRING (42.1630275 55.3646157, 42.1630517 55.3641736, 42.1631142 55.3635378)",1000.0,383,7,0.383,#c3ff00,,,
4901148532,4900060179,False,183384464,22Рљ-0040,False,False,72.40401158025445,1,"LINESTRING (42.1632921 55.3672175, 42.1631992 55.3665685)",1000.0,381,8,0.381,#c2ff00,,,
4901148532,4901148535,False,183384464,22Рљ-0040,False,True,47.481241155639275,1,"LINESTRING (42.1632921 55.3672175, 42.1633552 55.367643)",1000.0,427,9,0.427,#d9ff00,,,
4901148532,4901148531,False,498756445,,True,False,49.80708235992415,1,"LINESTRING (42.1632921 55.3672175, 42.1639475 55.3674663)",1000.0,3,10,0.003,#01ff00,,,
4900060164,4900278956,False,498648347,,False,True,112.71026495147315,1,"LINESTRING (42.1517354 55.3627635, 42.1518266 55.3617512)",1000.0,2,11,0.002,#01ff00,,,
4900060164,4900060156,False,498621687,,False,False,363.12580464063524,1,"LINESTRING (42.1517354 55.3627635, 42.1521351 55.3627955, 42.152811 55.3628305, 42.1536049 55.362919, 42.1574324 55.3631766)",1000.0,0,12,0.0,#00ff00,,,
