osmid,y,x,street_count,highway,geometry
309946180,55.3657895,42.1630892,3,,POINT (42.1630892 55.3657895)
4900060179,55.3665685,42.1631992,3,,POINT (42.1631992 55.3665685)
1260436929,55.3646157,42.1630275,3,,POINT (42.1630275 55.3646157)
309946186,55.3581561,42.1594334,3,,POINT (42.1594334 55.3581561)
4900060195,55.3582583,42.15942,3,,POINT (42.15942 55.3582583)
4900278880,55.3572657,42.1665868,3,,POINT (42.1665868 55.3572657)
4900278861,55.3567344,42.1602046,4,,POINT (42.1602046 55.3567344)
309946264,55.3452813,42.1594846,3,,POINT (42.1594846 55.3452813)
1455815976,55.3432184,42.1585806,3,,POINT (42.1585806 55.3432184)
4943955056,55.34822,42.1624428,3,,POINT (42.1624428 55.34822)
5200703551,55.3453591,42.1579718,1,,POINT (42.1579718 55.3453591)
309946287,55.3365103,42.1567753,3,,POINT (42.1567753 55.3365103)
1455815897,55.3365745,42.158989,3,,POINT (42.158989 55.3365745)
5200703388,55.3357658,42.1569014,3,,POINT (42.1569014 55.3357658)
1455815928,55.3379214,42.1569926,3,,POINT (42.1569926 55.3379214)
309946294,55.3207608,42.1678448,3,,POINT (42.1678448 55.3207608)
5234439050,55.3209912,42.1690189,3,,POINT (42.1690189 55.3209912)
1455815003,55.3200265,42.1679088,4,,POINT (42.1679088 55.3200265)
5200703334,55.3215787,42.1671903,3,,POINT (42.1671903 55.3215787)
309946307,55.3180396,42.1676061,3,traffic_signals,POINT (42.1676061 55.3180396)
5221980404,55.3183945,42.1675476,3,,POINT (42.1675476 55.3183945)
1260436889,55.317536,42.1671419,3,traffic_signals,POINT (42.1671419 55.317536)
1260436947,55.3176007,42.1681613,3,traffic_signals,POINT (42.1681613 55.3176007)
309946318,55.3164584,42.1780291,3,traffic_signals,POINT (42.1780291 55.3164584)
1455814807,55.3166492,42.1770689,3,,POINT (42.1770689 55.3166492)
5198588028,55.3153154,42.1775142,4,,POINT (42.1775142 55.3153154)
5251479721,55.3160328,42.1802525,3,,POINT (42.1802525 55.3160328)
309946450,55.2642862,42.2070995,3,,POINT (42.2070995 55.2642862)
4936064803,55.2616852,42.2165842,3,,POINT (42.2165842 55.2616852)
4936065497,55.2654037,42.2057654,3,,POINT (42.2057654 55.2654037)
4936064792,55.2595677,42.2080968,3,,POINT (42.2080968 55.2595677)
309946530,55.235066,42.2257163,3,,POINT (42.2257163 55.235066)
5212191137,55.2353517,42.2250791,3,,POINT (42.2250791 55.2353517)
5212191134,55.2349898,42.2258883,3,,POINT (42.2258883 55.2349898)
5212191140,55.2354974,42.2253596,3,,POINT (42.2253596 55.2354974)
309946643,55.1247069,42.7205299,3,,POINT (42.7205299 55.1247069)
2544318164,55.1175788,42.7190949,3,,POINT (42.7190949 55.1175788)
2240853186,55.1327624,42.7149313,3,,POINT (42.7149313 55.1327624)
336521224,55.3282289,42.0373952,4,,POINT (42.0373952 55.3282289)
4876768004,55.3288209,42.0379105,3,,POINT (42.0379105 55.3288209)
1424947546,55.3288872,42.0344875,3,,POINT (42.0344875 55.3288872)
4876768006,55.3272218,42.0365319,3,,POINT (42.0365319 55.3272218)
1873962278,55.3270644,42.0427837,4,,POINT (42.0427837 55.3270644)
643955133,55.3329332,42.1588099,3,traffic_signals,POINT (42.1588099 55.3329332)
6627803517,55.3337948,42.1582021,3,,POINT (42.1582021 55.3337948)
6627803508,55.3332749,42.1602849,3,,POINT (42.1602849 55.3332749)
1455815694,55.3320739,42.1594199,3,,POINT (42.1594199 55.3320739)
683051561,55.3606032,42.1595567,3,,POINT (42.1595567 55.3606032)
4900278545,55.3611734,42.1574566,3,,POINT (42.1574566 55.3611734)
4900060190,55.3610758,42.1607396,3,,POINT (42.1607396 55.3610758)
4900060193,55.36028,42.1593851,4,,POINT (42.1593851 55.36028)
683051562,55.3474604,42.0811906,3,,POINT (42.0811906 55.3474604)
4902075716,55.3480888,42.081593,3,,POINT (42.081593 55.3480888)
4901253599,55.3471387,42.0830736,3,,POINT (42.0830736 55.3471387)
4901357188,55.3478265,42.0790985,4,,POINT (42.0790985 55.3478265)
683053876,55.3269518,42.1630463,4,traffic_signals,POINT (42.1630463 55.3269518)
12257802875,55.3276196,42.1659485,3,,POINT (42.1659485 55.3276196)
1455815275,55.3265206,42.1612265,3,,POINT (42.1612265 55.3265206)
1455815157,55.3237088,42.1653695,3,,POINT (42.1653695 55.3237088)
1455815509,55.3284818,42.1619668,3,,POINT (42.1619668 55.3284818)
683053904,55.241009,42.2100978,3,,POINT (42.2100978 55.241009)
4936064529,55.2398197,42.2102721,3,,POINT (42.2102721 55.2398197)
4936064594,55.2410998,42.2098063,3,,POINT (42.2098063 55.2410998)
2544318722,55.241357,42.2136466,4,,POINT (42.2136466 55.241357)
683053907,55.4228509,42.1930883,3,,POINT (42.1930883 55.4228509)
4939057641,55.4220765,42.1923119,3,,POINT (42.1923119 55.4220765)
4939057387,55.4230132,42.192003,3,,POINT (42.192003 55.4230132)
4876850367,55.4298579,42.2005958,3,,POINT (42.2005958 55.4298579)
683053908,55.3386124,42.1571079,3,traffic_signals,POINT (42.1571079 55.3386124)
5200703539,55.3389678,42.1571669,3,,POINT (42.1571669 55.3389678)
5200703393,55.3382952,42.1570556,3,,POINT (42.1570556 55.3382952)
5200703411,55.3389187,42.1567135,4,,POINT (42.1567135 55.3389187)
683053916,55.379496,42.107656,3,,POINT (42.107656 55.379496)
4884140341,55.3794305,42.1072805,3,,POINT (42.1072805 55.3794305)
4884140347,55.3792796,42.1078303,4,,POINT (42.1078303 55.3792796)
4884140351,55.3808598,42.1068165,3,,POINT (42.1068165 55.3808598)
683053917,55.3835205,42.1054534,3,,POINT (42.1054534 55.3835205)
4884049986,55.382421,42.1060608,4,,POINT (42.1060608 55.382421)
4884050002,55.3832918,42.103976,3,,POINT (42.103976 55.3832918)
4876868590,55.3859536,42.104955,3,,POINT (42.104955 55.3859536)
683053919,55.3899803,42.1026215,3,,POINT (42.1026215 55.3899803)
